codigo,ean,stock,precio,promo,descripcion
12,79400509093,23,11593.0,30%,DOVE VITA MIN CARE LAVENYCHAM DESODORANTE EN BARRA 74GR
12,99176316565,9,4760.0,No Promo,COLGATE MAX WHITE MEDIO 2X1 CEPILLO DENTAL 2 UNIDADES
12,309970215842,2,23700.0,20%,REVLON COLORSTAY LIMITLESS MATTE LIQUID LABI L LIQUIDO 010
12,650240011290,3,13260.0,No Promo,GOICOECHEA cr.diabetex x 400 g
12,650240068676,4,29425.0,No Promo,CICATRICURE ANTIARRUGAS SERUM Serum x 30 ml
12,762860013476,3,54421.0,No Promo,SILFAB AEROCAMARA AEROCHAMBER PEDIATRICA (AM RILLA)
12,779628528933,14,8427.0,No Promo,EVAGINA gel pomo x 50 ml
12,779818277875,4,21600.0,No Promo,CEPAGE HYDRAFIRM H20 SOLUCION MICELAR SENSIB E 245ML
12,2702018072402,13,8794.0,No Promo,GILLETTE VENUS SIMPLY maq.x4u
12,3014260273903,3,9000.0,No Promo,GILLETTE FOAMY REGULAR ESPUMA 312GR
12,3014260273910,3,9000.0,No Promo,GILLETTE FOAMY SENSITIVE ESPUMA 312GR
12,3086123549982,3,10953.0,No Promo,BIC SOLEIL CLIC MAQUINA DE AFEITAR CON 5 RES UESTO - 968723
12,3086123549999,11,9305.0,No Promo,BIC FLEX 3 HYBRID MAQUINA DE AFEITAR CON 5 R SPUESTOS - 968777
12,3337871321826,2,67317.0,No Promo,VICHY IDEAL SOLEIL PROTECTOR SOLAR SPF30+ FA ILY MILK POMO 300ML
12,3337871323639,1,67416.0,No Promo,VICHY IDEAL SOLEI SPF50 KIDS LAIT PROTECTOR OLAR POMO 300ML
12,3337872412264,1,76826.0,No Promo,LRP HYDRAPHASE INTENSE RICA env.x50ml
12,3337872413322,1,86945.0,No Promo,LA ROCHE POSAY TOLERIANE ROSALIAC POMO 40ML LR65
12,3337875528108,1,73242.0,No Promo,LA ROCHE POSAY AGUA MICELAR ULTRA PIELES REA TIVAS 400ML- LR125
12,3337875545891,2,52606.0,No Promo,LA ROCHE POSAY ANTHELIOS XL SPF50 CON COLOR OQUE SECO CREMA 50ML
